ExT,a,i,k,t 
18791,8,2,1,22 
18791,8,2,1,23 
18791,8,2,1,24 
18791,8,2,1,25 
18791,8,2,1,26 
18791,8,2,1,27 
18791,8,2,1,28 
18791,8,2,1,29 
18791,8,2,1,30 
18791,8,2,1,31 
18791,8,2,1,32 
18791,8,2,1,33 
18791,8,2,1,34 
18791,8,2,1,35 
18791,8,2,1,36 
18791,8,2,1,37 
18791,8,2,1,38 
18791,8,2,1,39 
18791,8,2,1,40 
18791,8,2,1,41 
18791,8,2,1,42 
18791,8,2,1,43 
18791,8,2,1,44 
18791,8,2,1,45 
18791,8,2,1,46 
18791,8,2,1,47 
18791,8,2,1,48 
18791,8,2,1,49 
18791,8,2,1,50 
18791,8,2,1,51 
18791,8,2,1,52 
14094,9,2,1,1 
14094,9,2,1,2 
14094,9,2,1,3 
14094,9,2,1,4 
14094,9,2,1,5 
14094,9,2,1,6 
14094,9,2,1,7 
14094,9,2,1,8 
14094,9,2,1,9 
14094,9,2,1,10 
14094,9,2,1,11 
14094,9,2,1,12 
14094,9,2,1,13 
14094,9,2,1,14 
14094,9,2,1,15 
14094,9,2,1,16 
14094,9,2,1,17 
14094,9,2,1,18 
14094,9,2,1,19 
14094,9,2,1,20 
14094,9,2,1,21 
14094,9,2,1,22 
14094,9,2,1,23 
14094,9,2,1,24 
14094,9,2,1,25 
14094,9,2,1,26 
14094,9,2,1,27 
14094,9,2,1,28 
14094,9,2,1,29 
14094,9,2,1,30 
14094,9,2,1,31 
14094,9,2,1,32 
14094,9,2,1,33 
14094,9,2,1,34 
14094,9,2,1,35 
14094,9,2,1,36 
14094,9,2,1,37 
14094,9,2,1,38 
14094,9,2,1,39 
14094,9,2,1,40 
14094,9,2,1,41 
14094,9,2,1,42 
14094,9,2,1,43 
14094,9,2,1,44 
14094,9,2,1,45 
14094,9,2,1,46 
14094,9,2,1,47 
14094,9,2,1,48 
14094,9,2,1,49 
14094,9,2,1,50 
14094,9,2,1,51 
14094,9,2,1,52 
2119,10,2,1,1 
2119,10,2,1,2 
2119,10,2,1,3 
2119,10,2,1,4 
2119,10,2,1,5 
2119,10,2,1,6 
2119,10,2,1,7 
2119,10,2,1,8 
2119,10,2,1,9 
2119,10,2,1,10 
2119,10,2,1,11 
2119,10,2,1,12 
2119,10,2,1,13 
2119,10,2,1,14 
2119,10,2,1,15 
2119,10,2,1,16 
2119,10,2,1,17 
2119,10,2,1,18 
2119,10,2,1,19 
2119,10,2,1,20 
2119,10,2,1,21 
2119,10,2,1,22 
2119,10,2,1,23 
2119,10,2,1,24 
2119,10,2,1,25 
2119,10,2,1,26 
2119,10,2,1,27 
2119,10,2,1,28 
2119,10,2,1,29 
2119,10,2,1,30 
2119,10,2,1,31 
2119,10,2,1,32 
2119,10,2,1,33 
2119,10,2,1,34 
2119,10,2,1,35 
2119,10,2,1,36 
2119,10,2,1,37 
2119,10,2,1,38 
2119,10,2,1,39 
2119,10,2,1,40 
2119,10,2,1,41 
2119,10,2,1,42 
2119,10,2,1,43 
2119,10,2,1,44 
2119,10,2,1,45 
2119,10,2,1,46 
2119,10,2,1,47 
2119,10,2,1,48 
2119,10,2,1,49 
2119,10,2,1,50 
2119,10,2,1,51 
2119,10,2,1,52 
8659,1,3,1,1 
8659,1,3,1,2 
8659,1,3,1,3 
8659,1,3,1,4 
8659,1,3,1,5 
8659,1,3,1,6 
8659,1,3,1,7 
8659,1,3,1,8 
8659,1,3,1,9 
8659,1,3,1,10 
8659,1,3,1,11 
8659,1,3,1,12 
8659,1,3,1,13 
8659,1,3,1,14 
8659,1,3,1,15 
8659,1,3,1,16 
8659,1,3,1,17 
8659,1,3,1,18 
8659,1,3,1,19 
8659,1,3,1,20 
8659,1,3,1,21 
8659,1,3,1,22 
8659,1,3,1,23 
8659,1,3,1,24 
8659,1,3,1,25 
8659,1,3,1,26 
8659,1,3,1,27 
8659,1,3,1,28 
8659,1,3,1,29 
8659,1,3,1,30 
8659,1,3,1,31 
8659,1,3,1,32 
8659,1,3,1,33 
8659,1,3,1,34 
8659,1,3,1,35 
8659,1,3,1,36 
8659,1,3,1,37 
8659,1,3,1,38 
8659,1,3,1,39 
8659,1,3,1,40 
8659,1,3,1,41 
8659,1,3,1,42 
8659,1,3,1,43 
8659,1,3,1,44 
8659,1,3,1,45 
8659,1,3,1,46 
8659,1,3,1,47 
8659,1,3,1,48 
8659,1,3,1,49 
8659,1,3,1,50 
8659,1,3,1,51 
8659,1,3,1,52 
2671,2,3,1,1 
2671,2,3,1,2 
2671,2,3,1,3 
2671,2,3,1,4 
2671,2,3,1,5 
2671,2,3,1,6 
2671,2,3,1,7 
2671,2,3,1,8 
2671,2,3,1,9 
2671,2,3,1,10 
2671,2,3,1,11 
2671,2,3,1,12 
2671,2,3,1,13 
2671,2,3,1,14 
2671,2,3,1,15 
2671,2,3,1,16 
2671,2,3,1,17 
2671,2,3,1,18 
2671,2,3,1,19 
2671,2,3,1,20 
2671,2,3,1,21 
2671,2,3,1,22 
2671,2,3,1,23 
2671,2,3,1,24 
2671,2,3,1,25 
2671,2,3,1,26 
2671,2,3,1,27 
2671,2,3,1,28 
2671,2,3,1,29 
2671,2,3,1,30 
2671,2,3,1,31 
2671,2,3,1,32 
2671,2,3,1,33 
2671,2,3,1,34 
2671,2,3,1,35 
2671,2,3,1,36 
2671,2,3,1,37 
2671,2,3,1,38 
2671,2,3,1,39 
2671,2,3,1,40 
2671,2,3,1,41 
2671,2,3,1,42 
2671,2,3,1,43 
2671,2,3,1,44 
2671,2,3,1,45 
2671,2,3,1,46 
2671,2,3,1,47 
2671,2,3,1,48 
2671,2,3,1,49 
2671,2,3,1,50 
2671,2,3,1,51 
2671,2,3,1,52 
19160,3,3,1,1 
19160,3,3,1,2 
19160,3,3,1,3 
19160,3,3,1,4 
19160,3,3,1,5 
19160,3,3,1,6 
19160,3,3,1,7 
19160,3,3,1,8 
19160,3,3,1,9 
19160,3,3,1,10 
19160,3,3,1,11 
19160,3,3,1,12 
19160,3,3,1,13 
19160,3,3,1,14 
19160,3,3,1,15 
19160,3,3,1,16 
19160,3,3,1,17 
19160,3,3,1,18 
19160,3,3,1,19 
19160,3,3,1,20 
19160,3,3,1,21 
19160,3,3,1,22 
19160,3,3,1,23 
